epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,3756.28,1.74639,1.83002,1.58845,0.5131,0.4832,0.48875,0.22306,1.80114,1.74225,1.67412,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3838.86,1.74467,1.82044,1.58312,0.51956,0.50193,0.49917,0.22521,1.81875,1.72078,1.67685,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3922.27,1.738,1.80912,1.58527,0.53844,0.49062,0.49613,0.2271,1.797,1.71085,1.66503,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4005.22,1.7287,1.80409,1.58694,0.53159,0.5002,0.5076,0.22799,1.80744,1.7004,1.68506,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4088.82,1.73792,1.81652,1.58821,0.53627,0.49139,0.5038,0.23086,1.80113,1.69881,1.67321,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4173.02,1.73139,1.79486,1.57673,0.52926,0.49764,0.5046,0.22895,1.81266,1.68228,1.6689,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4257.21,1.72317,1.77891,1.56905,0.53149,0.49507,0.49882,0.22538,1.8193,1.69486,1.66727,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4342.46,1.71837,1.76934,1.57092,0.54182,0.49385,0.50648,0.22942,1.8124,1.68588,1.67471,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4428.36,1.72204,1.76491,1.5685,0.5479,0.49914,0.51069,0.23346,1.81209,1.67852,1.67384,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4512.35,1.72531,1.7573,1.56681,0.54938,0.50104,0.51465,0.23263,1.81556,1.66763,1.67197,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4596.31,1.70993,1.74027,1.56017,0.55849,0.50375,0.51609,0.23393,1.81197,1.66772,1.66898,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4684.66,1.69881,1.72814,1.55513,0.56481,0.49454,0.52068,0.23726,1.81053,1.66045,1.66753,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4771.07,1.69832,1.72445,1.55042,0.56256,0.4903,0.51433,0.23502,1.80915,1.66156,1.66739,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,4855.6,1.68631,1.71294,1.55186,0.55291,0.5007,0.51368,0.23344,1.80971,1.66386,1.66997,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4939.33,1.69212,1.71207,1.55435,0.56182,0.50275,0.52176,0.23685,1.81008,1.65121,1.66476,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5023.46,1.70008,1.70119,1.54608,0.57091,0.49115,0.52117,0.23857,1.80434,1.64431,1.65663,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5109.2,1.68464,1.70277,1.54283,0.54605,0.51049,0.52343,0.23878,1.79371,1.64505,1.65958,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5194.33,1.69121,1.68369,1.54142,0.55387,0.51326,0.52222,0.23789,1.80785,1.64574,1.66064,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5277.73,1.68068,1.68703,1.53701,0.5582,0.50511,0.52521,0.24034,1.81253,1.6473,1.66589,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5362.45,1.67033,1.66037,1.53348,0.55769,0.51455,0.5312,0.24072,1.81308,1.63655,1.66374,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5447.84,1.66494,1.64342,1.53379,0.56119,0.51069,0.52997,0.24056,1.81501,1.63747,1.66992,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5532.47,1.6652,1.6423,1.52767,0.56373,0.51336,0.53437,0.24197,1.81706,1.62937,1.67297,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5616.5,1.66592,1.65015,1.52999,0.55565,0.52474,0.53261,0.24406,1.81596,1.62336,1.67028,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5700.04,1.65243,1.62748,1.52083,0.55681,0.52087,0.53418,0.24343,1.81689,1.62261,1.66848,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5784.89,1.65564,1.61941,1.51577,0.56186,0.5158,0.53384,0.24256,1.82103,1.6146,1.66964,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5868.81,1.64952,1.61168,1.51405,0.56398,0.50963,0.53121,0.2421,1.81738,1.61684,1.66808,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5954,1.63757,1.605,1.50486,0.57362,0.51074,0.53095,0.24064,1.81706,1.60914,1.66529,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6039.08,1.6409,1.59054,1.5016,0.57358,0.51732,0.5304,0.23889,1.82173,1.61646,1.6689,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6123.38,1.64064,1.58497,1.49951,0.56281,0.51956,0.53409,0.24129,1.82361,1.61592,1.66965,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6208.21,1.63344,1.5837,1.49891,0.57783,0.51128,0.53597,0.24377,1.8244,1.6143,1.66834,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6293.68,1.62937,1.57221,1.49765,0.56977,0.5129,0.53513,0.24364,1.82433,1.60744,1.66728,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6378.87,1.62194,1.56213,1.4954,0.56625,0.52283,0.53697,0.24552,1.82348,1.59967,1.66774,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,6464.81,1.60746,1.54725,1.48709,0.57399,0.51582,0.53867,0.24538,1.8263,1.59775,1.67186,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,6550.79,1.61592,1.5359,1.48881,0.55991,0.52016,0.53627,0.24528,1.82827,1.59431,1.67298,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,6635.7,1.59898,1.52485,1.47996,0.55159,0.52809,0.53759,0.24453,1.83191,1.59909,1.6739,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,6720.62,1.6066,1.53253,1.47996,0.55355,0.52859,0.53731,0.2441,1.83605,1.60074,1.68014,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,6805.74,1.59869,1.51228,1.47626,0.56039,0.52432,0.53591,0.24339,1.83806,1.59909,1.68339,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,6889.58,1.59067,1.50791,1.46977,0.56274,0.52083,0.53585,0.24273,1.83719,1.60082,1.68208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,6973.57,1.59383,1.4917,1.47105,0.56287,0.52051,0.53687,0.24249,1.84284,1.60079,1.68591,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,7058.01,1.57671,1.48844,1.45988,0.5749,0.51647,0.53846,0.24306,1.84244,1.598,1.68652,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,7143.33,1.57965,1.48772,1.46176,0.56853,0.51825,0.53835,0.24187,1.83989,1.59867,1.68424,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,7227.77,1.57346,1.47005,1.46041,0.56808,0.5217,0.53875,0.24184,1.84036,1.60033,1.68618,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
